@CO	shape:(4851, 2)
@CO	dtype:float64
VALUE_0	VALUE_1
5.551115123125783e-17	-37.14246349477659
5.551115123125783e-17	-35.847088583592814
5.551115123125783e-17	-34.49852750170363
5.551115123125783e-17	-45.75110488991788
5.551115123125783e-17	-37.336843600610486
5.551115123125783e-17	-35.64588331542594
5.551115123125783e-17	-35.624050758825604
5.551115123125783e-17	-35.328571867154615
5.551115123125783e-17	-33.573434719200044
5.551115123125783e-17	-33.01239452641341
5.551115123125783e-17	-34.96615289700966
5.551115123125783e-17	-36.34014183807282
5.551115123125783e-17	-36.549118499677355
5.551115123125783e-17	-36.565267012246025
5.551115123125783e-17	-36.57045355208227
5.551115123125783e-17	-36.57424877471149
5.551115123125783e-17	-36.611294350008315
5.551115123125783e-17	-37.29906775934643
5.551115123125783e-17	-39.5287400891515
5.551115123125783e-17	-38.316066143029595
5.551115123125783e-17	-38.31748027986374
5.551115123125783e-17	-38.29413164368069
5.551115123125783e-17	-38.283351930651726
5.551115123125783e-17	-38.26675224691458
5.551115123125783e-17	-38.042473292437485
5.551115123125783e-17	-38.058054862380786
5.551115123125783e-17	-38.06778915560588
5.551115123125783e-17	-38.067434676913926
5.551115123125783e-17	-38.068131274039615
5.551115123125783e-17	-37.40273935206835
5.551115123125783e-17	-57.96915636065134
5.551115123125783e-17	-38.05905391323175
5.551115123125783e-17	-37.91954839194868
5.551115123125783e-17	-28.30206403921403
5.551115123125783e-17	-35.59869138590062
5.551115123125783e-17	-39.936199160047146
5.551115123125783e-17	-38.197301073591206
5.551115123125783e-17	-38.22751024873477
5.551115123125783e-17	-38.23917602950544
5.551115123125783e-17	-38.2442835199118
5.551115123125783e-17	-38.253766398584034
5.551115123125783e-17	-38.29777283327428
5.551115123125783e-17	-38.297224878801494
5.551115123125783e-17	-38.29683324838975
5.551115123125783e-17	-38.29591000279478
5.551115123125783e-17	-38.24148983348052
-1.2984859298903473e-09	-20.462712288044173
5.551115123125783e-17	-26.065500645074824
5.551115123125783e-17	-31.921621386834456
5.551115123125783e-17	-60.66628807441849
5.551115123125783e-17	-26.415193075944327
5.551115123125783e-17	-30.06832896219055
5.551115123125783e-17	-75.38926764967401
