@CO	shape:(4851, 2)
@CO	dtype:float64
VALUE_0	VALUE_1
-250.14306509872483	5.551115123125783e-17
-209.4146353315294	5.551115123125783e-17
-150.9136218794204	5.551115123125783e-17
-161.04495661511297	5.551115123125783e-17
-170.1401526371079	5.551115123125783e-17
-158.8787737959553	5.551115123125783e-17
-189.30767656143345	5.551115123125783e-17
-198.107280169618	5.551115123125783e-17
-174.79646523344263	5.551115123125783e-17
-183.2735527290896	5.551115123125783e-17
-214.8276623125692	5.551115123125783e-17
-221.72782321965144	5.551115123125783e-17
-200.91216664983259	5.551115123125783e-17
-270.72419399890845	5.551115123125783e-17
-241.52368753165544	5.551115123125783e-17
-237.48727775144368	5.551115123125783e-17
-225.14637395560518	5.551115123125783e-17
-226.57048405010596	5.551115123125783e-17
-247.1767371898499	5.551115123125783e-17
-253.91295383583432	5.551115123125783e-17
-252.26396240299925	5.551115123125783e-17
-250.2862776829549	5.551115123125783e-17
-269.2365806054386	5.551115123125783e-17
-309.14365252978615	5.551115123125783e-17
-241.32051621639357	5.551115123125783e-17
-201.6372315891157	5.551115123125783e-17
-168.1253744677792	5.551115123125783e-17
-192.61596992352986	5.551115123125783e-17
-176.0543803048711	5.551115123125783e-17
-160.59049316758964	5.551115123125783e-17
-150.14718871141568	5.551115123125783e-17
-178.23175713462948	5.551115123125783e-17
-192.9093684273466	5.551115123125783e-17
-184.0258066445637	5.551115123125783e-17
-206.4384659189443	5.551115123125783e-17
-203.32811243175038	5.551115123125783e-17
-229.98143655708333	5.551115123125783e-17
-228.93849877624737	5.551115123125783e-17
-179.8086893248828	5.551115123125783e-17
-181.93091461923	5.551115123125783e-17
-182.72139955599167	5.551115123125783e-17
-195.6388768957303	5.551115123125783e-17
-169.06657664961037	5.551115123125783e-17
-158.93877042669385	5.551115123125783e-17
-203.16773686180193	5.551115123125783e-17
-170.9739627835206	5.551115123125783e-17
-160.63072391224733	5.551115123125783e-17
-136.20335221271964	5.551115123125783e-17
-155.76178791844603	5.551115123125783e-17
-121.34069324217613	5.551115123125783e-17
-123.3810976944024	5.551115123125783e-17
-148.26587882547943	5.551115123125783e-17
-145.76900607972598	5.551115123125783e-17
-171.63490142103115	5.551115123125783e-17
